Tiêu đề,Giá,Diện tích,Địa chỉ
"Hiếm ! Nhà Đẹp Hoàng Hoa Thám - Ba Đình - 37M x 5 Tầng Giá 5 Tỷ Hơn - Ô Tô Gần - 3 Ngủ KK","Giá: 5,88 tỷ","DT:",""
"NHÀ ĐƯỜNG LÁNG 62m2 4 TẦNG VUÔNG 8.2TỶ ,GẦN DH NGOẠI THƯƠNG,CÓ SÂN TRƯỚC NHÀ,KO QUY HOẠCH","Giá: 8,2 tỷ","DT:",""
"ĐỐNG ĐA 48M2 4 TẦNG 7.6 TỶ SỔ VUÔNG,NHÀ TRONG CÔNG VIÊN HOÀNG CẦU ĐẸP NHẤT ĐỐNG ĐA","Giá: 7,6 tỷ","DT:",""
"HOA KHÔI PHỐ HOÀNG CẦU,48M2 4T 7.6 TỶ TRƯỚC MẶT LÀ CONG VIEN SIÊU ĐẸP ,CÁCH OTO TRÁNH 5M","Giá: 7,6 tỷ","DT:",""
"ĐỐNG ĐA-Tôn đức Thắng 36 M2 4 TẦNG 6.5 TỶ SỔ VUÔNG, CÓ SÂN Pickleball 1200m2 TRƯỚC Cửa NHÀ","Giá: 6,5 tỷ","DT:",""
"🍀Bán gấp nhà NGAY CHỢ BÌNH CHÁNH đang cho thuê 10tr/th - 670tr - 120m2","Giá: 670 triệu","DT:",""
"BÁN ĐẤT NGAY MT NGŨ HÀNH SƠN ĐH KINH TẾ ~ 60M2 NGANG 7M CHỈ 4.8 TỶ","Giá: 4,8 tỷ","DT:",""
"BÁN 101M2=9X11 ĐẤT TRONG KDC THỦ ĐỨC, FULL THỔ CƯ, SỔ RIÊNG,MT ĐƯỜNG NHỰA 5M - GIÁ 4,8 TỶ","Giá: 4,8 tỷ","DT:",""
"CẦN BÁN 2 CĂN NHÀ MẶT TIỀN HƯNG NHƠN & TRỊNH NHƯ KHUÊ CHỢ BÌNH CHÁNH QL1A","Giá: 820 triệu","DT:",""
"CẦN TIỀN BÁN GẤP NHÀ 120m2 ĐANG CHO THUÊ KINH DOANH CF 10Tr/Th MẶT TIỀN ĐƯỜNG 8M","Giá: 725 triệu","DT:",""
"CHO THUÊ NHÀ KHÁCH SẠN – NGÕ 10 NGUYỄN VĂN HUYÊN, CẦU GIẤY, HÀ NỘI","Giá: 150 triệu / tháng","DT:",""
"Cho thuê biệt thự mặt phố Quang Trung – Hoàn Kiếm, vị trí đắc địa, phù hợp nhiều mô hình k","Giá: 290 triệu / tháng","DT:",""
"CĂN GÓC HIẾM KHU BIỂN PHẠM VĂN ĐỒNG 95M2 NGANG 8 CHỈ 11.8 TỶ","Giá: 11,8 tỷ","DT:",""
"BÁN NHÀ 7 TẦNG, THANG MÁY, KD TỐT, HOÀNG CẦU, ĐỐNG ĐA, HN. Giá chỉ 38,5 tỷ","Giá: 38,5 tỷ","DT:",""
"CHỈ HƠN 5 TỶ CÓ NHÀ ĐƯỜNG NHỰA 2 LÀN XE, P8, ĐÀ LẠT","Giá: 5,5 tỷ","DT:",""
"Đường ÔTÔ Huỳnh Thúc Kháng 65 M2 5 TẦNG 16 TỶ + mặt tiền 4.6m, vuông đẹp, Ở SƯỚNG LẮM","Giá: 16 tỷ","DT:",""
"CỰC HIẾM NGUYỄN TRÃI HÀ ĐÔNG - 50M2X4T - MẶT TIỀM 5M - Ô TÔ ĐỖ CỬA - KINH DOANH - 9,5TỶ","Giá: 9,5 tỷ","DT:",""
"Bán nhà ngang 5,2m-Hẻm 9m - Nguyễn Phúc Chu-P15-Tân Bình 85m-4tầng- 9.1 tỷ","Giá: 9,1 tỷ","DT:",""
"BÁN NHÀ 3 TẦNG MẶT TIỀN - ÔNG ÍCH KHIÊM, P. HẢI CHÂU 2, Q. HẢI CHÂU, TP. ĐÀ NẴNG","Giá: 20 tỷ","DT:",""
"Bán Nhà 2 Tầng Kiệt Ô tô - Đường Chế Lan Viên, Quận Ngũ Hành Sơn, TP. Đà Nẵng","Giá: 5,7 tỷ","DT:",""
